repro_id,repro_path,config_label,config_us,rounds,speedup_vs_default,speedup_vs_best_compile_baseline,config_over_sol,best_3config_label,best_3config_us,best_3config_over_sol,round_count,rep_per_round,total_bytes
sum_sum_sum_041aaca79573,repros/canonical/sum_sum_sum_041aaca79573/repro.py,default,506.0160160064697,"[506.0160160064697, 514.1760110855103, 514.0799880027771, 513.9840245246887, 518.176019191742]",1.0,0.9185480014229275,2.700768607542345,combo_looped,393.0880129337311,2.0980358956050242,5,200,1258859312
sum_sum_sum_04ab10ca59ee,repros/canonical/sum_sum_sum_04ab10ca59ee/repro.py,combo_looped,461.760014295578,"[461.760014295578, 461.85600757598877, 461.7919921875, 461.7919921875, 461.760014295578]",1.0176021897374452,1.0045737424483328,2.800310645696817,combo_persistent,460.7039988040924,2.7939065151283895,5,200,1104224260
sum_sum_sum_04ab10ca59ee,repros/canonical/sum_sum_sum_04ab10ca59ee/repro.py,combo_persistent,460.7039988040924,"[460.7360064983368, 460.83199977874756, 460.7039988040924, 460.7680141925812, 460.7680141925812]",1.01993471491483,1.0068764041077038,2.7939065151283895,combo_persistent,460.7039988040924,2.7939065151283895,5,200,1104224260
sum_sum_sum_04ab10ca59ee,repros/canonical/sum_sum_sum_04ab10ca59ee/repro.py,default,469.88800168037415,"[469.88800168037415, 470.880001783371, 470.0160026550293, 469.92000937461853, 470.0160026550293]",1.0,0.9871969150415508,2.8496022450061598,combo_persistent,460.7039988040924,2.7939065151283895,5,200,1104224260
sum_sum_sum_04ff2f31b226,repros/canonical/sum_sum_sum_04ff2f31b226/repro.py,combo_looped,19.328000023961067,"[19.328000023961067, 19.360000267624855, 19.360000267624855, 19.392000511288643, 19.328000023961067]",1.1589403545906618,0.9403973790747893,2.396825418823757,combo_persistent,19.231999292969704,2.384920566175759,5,500,10765316
sum_sum_sum_04ff2f31b226,repros/canonical/sum_sum_sum_04ff2f31b226/repro.py,combo_persistent,19.231999292969704,"[19.328000023961067, 19.231999292969704, 19.29599978029728, 19.29599978029728, 19.26399953663349]",1.164725458859918,0.9450915782809292,2.384920566175759,combo_persistent,19.231999292969704,2.384920566175759,5,500,10765316
sum_sum_sum_04ff2f31b226,repros/canonical/sum_sum_sum_04ff2f31b226/repro.py,default,22.39999920129776,"[22.463999688625336, 22.52800017595291, 22.463999688625336, 22.39999920129776, 22.431999444961548]",1.0,0.8114286255973353,2.7777777007835165,combo_persistent,19.231999292969704,2.384920566175759,5,500,10765316
sum_sum_sum_109f690634a7,repros/canonical/sum_sum_sum_109f690634a7/repro.py,combo_looped,169.72799599170685,"[169.79199647903442, 169.79199647903442, 169.79199647903442, 169.72799599170685, 169.76000368595123]",1.5090498867760005,0.9886877841958384,1.708762908636922,combo_persistent,166.9120043516159,1.6804124763025052,5,300,642260996
sum_sum_sum_109f690634a7,repros/canonical/sum_sum_sum_109f690634a7/repro.py,combo_persistent,166.9120043516159,"[167.77600347995758, 167.7439957857132, 167.80799627304077, 167.00799763202667, 166.9120043516159]",1.5345092411354957,1.0053680496193513,1.6804124763025052,combo_persistent,166.9120043516159,1.6804124763025052,5,300,642260996
sum_sum_sum_109f690634a7,repros/canonical/sum_sum_sum_109f690634a7/repro.py,default,256.1280131340027,"[257.05599784851074, 256.1599910259247, 256.1280131340027, 256.9600045681, 256.9600045681]",1.0,0.6551723656453226,2.5786084738055766,combo_persistent,166.9120043516159,1.6804124763025052,5,300,642260996
sum_sum_sum_117551af918e,repros/canonical/sum_sum_sum_117551af918e/repro.py,combo_looped,116.83200299739838,"[116.89600348472595, 117.72800236940384, 117.63200163841248, 116.83200299739838, 116.99199676513672]",0.6814571409877197,0.6798137431424649,4.220809312579644,combo_persistent,75.6160020828247,2.7317919541132527,5,300,163655680
sum_sum_sum_117551af918e,repros/canonical/sum_sum_sum_117551af918e/repro.py,combo_persistent,75.6160020828247,"[75.6480023264885, 75.68000257015228, 75.6480023264885, 75.68000257015228, 75.6160020828247]",1.0528988645983923,1.0503597001795644,2.7317919541132527,combo_persistent,75.6160020828247,2.7317919541132527,5,300,163655680
sum_sum_sum_117551af918e,repros/canonical/sum_sum_sum_117551af918e/repro.py,default,79.6160027384758,"[79.83999699354172, 79.80799674987793, 79.80799674987793, 79.6160027384758, 79.83999699354172]",1.0,0.9975884061573222,2.876300646804867,combo_persistent,75.6160020828247,2.7317919541132527,5,300,163655680
sum_sum_sum_1482b693d4f2,repros/canonical/sum_sum_sum_1482b693d4f2/repro.py,combo_looped,145.9839940071106,"[146.40000462532043, 145.9839940071106, 146.2399959564209, 146.33600413799286, 146.33600413799286]",1.059403765711731,0.9947392112950937,2.2038647188676737,combo_persistent,144.31999623775482,2.1787439787406493,5,300,411447424
sum_sum_sum_1482b693d4f2,repros/canonical/sum_sum_sum_1482b693d4f2/repro.py,combo_persistent,144.31999623775482,"[144.48000490665436, 144.41600441932678, 144.31999623775482, 144.44799721240997, 144.44799721240997]",1.0716186046040996,1.0062084731564847,2.1787439787406493,combo_persistent,144.31999623775482,2.1787439787406493,5,300,411447424
sum_sum_sum_1482b693d4f2,repros/canonical/sum_sum_sum_1482b693d4f2/repro.py,default,154.65599298477173,"[155.5519998073578, 154.65599298477173, 155.58399260044098, 155.4879993200302, 155.58399260044098]",1.0,0.9389613700559256,2.3347825822876387,combo_persistent,144.31999623775482,2.1787439787406493,5,300,411447424
sum_sum_sum_1627b1a3a6f6,repros/canonical/sum_sum_sum_1627b1a3a6f6/repro.py,combo_looped,1239.0719652175903,"[1240.9600019454956, 1239.0719652175903, 1241.055965423584, 1241.0880327224731, 1241.1839962005615]",1.0091423115580402,0.9717724179579375,5.736444134616811,combo_persistent,1217.471957206726,5.636444100123383,5,200,1451461636
sum_sum_sum_1627b1a3a6f6,repros/canonical/sum_sum_sum_1627b1a3a6f6/repro.py,combo_persistent,1217.471957206726,"[1230.8160066604614, 1228.7360429763794, 1222.5279808044434, 1217.471957206726, 1232.7680587768555]",1.0270461999266614,0.9890133013215155,5.636444100123383,combo_persistent,1217.471957206726,5.636444100123383,5,200,1451461636
sum_sum_sum_1627b1a3a6f6,repros/canonical/sum_sum_sum_1627b1a3a6f6/repro.py,default,1250.3999471664429,"[1250.3999471664429, 1275.9360074996948, 1277.951955795288, 1274.8160362243652, 1275.8079767227173]",1.0,0.9629686584616529,5.788888494130771,combo_persistent,1217.471957206726,5.636444100123383,5,200,1451461636
sum_sum_sum_17d1ea77dce0,repros/canonical/sum_sum_sum_17d1ea77dce0/repro.py,combo_looped,254.88001108169556,"[254.91198897361755, 254.91198897361755, 254.88001108169556, 254.94399666786194, 254.94399666786194]",1.3408662690997122,0.894161946523729,6.433764430492577,combo_persistent,251.8399953842163,6.357027362020338,5,200,227019008
sum_sum_sum_17d1ea77dce0,repros/canonical/sum_sum_sum_17d1ea77dce0/repro.py,combo_persistent,251.8399953842163,"[251.8720030784607, 251.8720030784607, 252.00000405311584, 251.8399953842163, 252.00000405311584]",1.3570521592720206,0.9049555710605054,6.357027362020338,combo_persistent,251.8399953842163,6.357027362020338,5,200,227019008
sum_sum_sum_17d1ea77dce0,repros/canonical/sum_sum_sum_17d1ea77dce0/repro.py,default,341.7600095272064,"[341.7600095272064, 341.8880105018616, 341.91998839378357, 341.91998839378357, 341.95199608802795]",1.0,0.6668539340049843,8.626817708181017,combo_persistent,251.8399953842163,6.357027362020338,5,200,227019008
sum_sum_sum_18cf1bb89c04,repros/canonical/sum_sum_sum_18cf1bb89c04/repro.py,combo_looped,169.855996966362,"[169.95200514793396, 169.91999745368958, 169.88800466060638, 169.91999745368958, 169.855996966362]",1.1330068323600913,1.047663960280881,2.55930569316962,combo_persistent,165.95199704170227,2.500482163757855,5,300,416473092
