repro_id,repro_path,pattern_prefix,raw_sol_gap,launch_adjusted_gap_1us,launch_adjusted_gap_3us,launch_adjusted_gap_5us,best_compile_us,memcopy_sol_us,n_kernels,excess_us_vs_launch_adjusted_sol_3us,priority_score_3us,models,top_ops,launch_adjusted_priority_rank_3us
var_mean_b6092fb107d0,repros/canonical/var_mean_b6092fb107d0/repro.py,var_mean,1.155660396461441,1.0071942606488988,0.8013082704792096,0.6653089030940381,7.840000092983246,6.783999968320131,1,-1.9439998753368855,0.0,hf_AlbertForMaskedLM_train_000;torchbench_hf_Albert_train_000,aten.add.Tensor:4;aten.embedding.default:3;<built-in function getitem>:2;aten.expand.default:2;aten.mul.Tensor:2;aten.div.Tensor:1;aten.gather.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1;aten.view.default:1,947
sum_sum_sum_5f0c557e2169,repros/canonical/sum_sum_sum_5f0c557e2169/repro.py,sum_sum_sum,2.803030220181936,1.6856491729750036,0.937896061888911,0.6496927086059486,29.600000008940697,10.56000031530857,7,-1.9600003063678741,0.0,timm_deit_tiny_patch16_224.fb_in1k_train,aten.mul.Tensor:6;aten.sum.dim_IntList:5;aten.reshape.default:2;aten.sub.Tensor:2;aten.full.default:1;aten.permute.default:1;aten.select_scatter.default:1,948
var_mean_bf21b62ff8f8,repros/canonical/var_mean_bf21b62ff8f8/repro.py,var_mean,1.1693121509802025,1.0034052044782655,0.7816091810912961,0.6401158457386616,7.071999832987785,6.047999951988459,1,-1.9760001190006733,0.0,torchbench_hf_Bart_infer_004,aten.add.Tensor:3;<built-in function getitem>:2;aten.mul.Tensor:2;prims.convert_element_type.default:2;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1;aten.view.default:1,949
var_mean_045455ff6e84,repros/canonical/var_mean_045455ff6e84/repro.py,var_mean,1.1538461377012772,1.003134780725506,0.7953603837664466,0.6588881138822658,7.679999805986881,6.6559999249875546,1,-1.9760001190006733,0.0,hf_GPTJForCausalLM_train_000;hf_GPTJForQuestionAnswering_train_000,<built-in function getitem>:2;aten.add.Tensor:2;aten.mul.Tensor:2;aten.embedding.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1;aten.view.default:1,950
var_mean_a5d43c43648a,repros/canonical/var_mean_a5d43c43648a/repro.py,var_mean,1.9864865148320723,1.3966746087269448,0.8763040416334,0.638436495869399,14.112000353634357,7.104000076651573,3,-1.9919997230172157,0.0,torchbench_timm_vision_transformer_infer_000,aten.add.Tensor:3;<built-in function getitem>:2;aten.mul.Tensor:2;aten.view.default:2;prims.convert_element_type.default:2;aten.cat.default:1;aten.expand.default:1;aten.permute.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,951
sum_sum_sum_b42d335bef54,repros/canonical/sum_sum_sum_b42d335bef54/repro.py,sum_sum_sum,1.4018348122172857,1.196086068396137,0.9246595834727305,0.7536374685851752,24.447999894618988,17.44000054895878,3,-1.9920006543397903,0.0,hf_AllenaiLongformerBase_train_005;hf_BartForCausalLM_train_007;torchbench_hf_Bart_train_011;torchbench_hf_Bart_train_014;torchbench_hf_Longformer_train_005,aten.mul.Tensor:7;aten.sum.dim_IntList:3;aten.sub.Tensor:2;aten.view.default:2;aten.permute.default:1;prims.convert_element_type.default:1,952
var_mean_9f9f7f8de566,repros/canonical/var_mean_9f9f7f8de566/repro.py,var_mean,1.1623036824726372,0.9988751550853757,0.7796312661535509,0.639308863705393,7.104000076651573,6.111999973654747,1,-2.007999897003174,0.0,torchbench_hf_Bert_infer_000;torchbench_hf_Bert_large_infer_000;torchbench_hf_DistilBert_infer_000;torchbench_hf_Longformer_infer_003;torchbench_hf_Roberta_base_infer_000,aten.mul.Tensor:5;aten.add.Tensor:3;prims.convert_element_type.default:3;<built-in function getitem>:2;aten.view.default:2;aten.erf.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,953
pointwise_7a4083b7e3d1,repros/canonical/pointwise_7a4083b7e3d1/repro.py,pointwise,1.1597938368586225,0.9988901363409054,0.781928763419332,0.6423982888951584,7.199999876320362,6.207999773323536,1,-2.007999897003174,0.0,torchbench_densenet121_infer_000;torchbench_mnasnet1_0_infer_000;torchbench_mobilenet_v3_large_infer_000;torchbench_resnet152_infer_000;torchbench_resnet18_infer_000;torchbench_resnet50_infer_000;torchbench_resnext50_32x4d_infer_000;torchbench_shufflenet_v2_x1_0_infer_000,aten.unsqueeze.default:8;aten.mul.Tensor:3;prims.convert_element_type.default:3;aten.add.Tensor:2;aten.reciprocal.default:1;aten.relu.default:1;aten.sqrt.default:1;aten.sub.Tensor:1,954
sum_9fb0f8852874,repros/canonical/sum_9fb0f8852874/repro.py,sum,1.1435184658077489,0.9989888318184178,0.7974172356432785,0.6635325420799443,7.903999648988247,6.912000011652708,1,-2.008000362664461,0.0,torchbench_vgg16_train_001,aten.mul.Tensor:2;aten.full.default:1;aten.permute.default:1;aten.sum.dim_IntList:1;aten.view.default:1;aten.where.self:1;prims.convert_element_type.default:1,955
var_mean_2e61b19a52bc,repros/canonical/var_mean_2e61b19a52bc/repro.py,var_mean,1.122047135828028,0.9991234851057506,0.819554209926236,0.6946983014101296,9.119999594986439,8.128000423312187,1,-2.0080008283257484,0.0,timm_mobilevit_s_infer,aten.reshape.default:4;aten.clone.default:3;<built-in function getitem>:2;aten.add.Tensor:2;aten.mul.Tensor:2;aten.permute.default:2;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,956
var_mean_94d545103c46,repros/canonical/var_mean_94d545103c46/repro.py,var_mean,1.1363636814625468,0.9950249160780947,0.7968127824867164,0.6644518557678186,8.00000037997961,7.040000054985285,1,-2.0399996750056744,0.0,hf_GPTJForCausalLM_train_000;hf_GPTJForQuestionAnswering_train_000,aten.add.Tensor:4;aten.view.default:3;<built-in function getitem>:2;aten.mul.Tensor:2;aten.div.Tensor:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,957
sum_706f1191d1db,repros/canonical/sum_706f1191d1db/repro.py,sum,1.1587301367317984,0.9943246111039379,0.774535792275437,0.6343229400594061,7.007999811321497,6.047999951988459,1,-2.0400001406669617,0.0,timm_timm_vit_base_patch16_siglip_256_train_train_001;timm_vit_base_patch16_siglip_256_train_001;timm_vit_base_patch16_siglip_256_train_010,aten.view.default:2;aten.full.default:1;aten.permute.default:1;aten.select_scatter.default:1;aten.sum.dim_IntList:1,958
sum_sum_06ebd69de9aa,repros/canonical/sum_sum_06ebd69de9aa/repro.py,sum_sum,1.1587301367317984,0.9943246111039379,0.774535792275437,0.6343229400594061,7.007999811321497,6.047999951988459,1,-2.0400001406669617,0.0,timm_deit_base_distilled_patch16_224_train_001;timm_timm_deit_base_distilled_patch16_224_train_train_001,aten.sum.dim_IntList:2;aten.view.default:2;aten.div.Tensor:1;aten.permute.default:1,959
var_mean_55b78000aab0,repros/canonical/var_mean_55b78000aab0/repro.py,var_mean,1.1190476025488487,0.9955869217840394,0.8156182074773831,0.690753202658947,9.02399979531765,8.063999935984612,1,-2.0400001406669617,0.0,torchbench_pytorch_CycleGAN_and_pix2pix_infer_000,<built-in function getitem>:2;aten.add.Tensor:2;aten.mul.Tensor:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,960
pointwise_43877c71f0eb,repros/canonical/pointwise_43877c71f0eb/repro.py,pointwise,1.1167314972402889,0.9956634714115353,0.8182466054758186,0.6944948523483723,9.184000082314014,8.224000222980976,1,-2.0400001406669617,0.0,torchbench_modded_nanogpt_train_023,aten.div.Tensor:1;prims.convert_element_type.default:1,961
var_mean_7cebda5b34ee,repros/canonical/var_mean_7cebda5b34ee/repro.py,var_mean,1.1355140307662848,0.990825698424907,0.7896019576790922,0.6563133083971138,7.7760000713169575,6.84799998998642,1,-2.071999918669462,0.0,torchbench_moondream_infer_000,aten.view.default:4;<built-in function getitem>:2;aten.add.Tensor:2;aten.mul.Tensor:2;prims.convert_element_type.default:2;aten.embedding.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,962
