dir,shape_hash,triton_us,cutile_us,cutile_over_triton,triton_status,cutile_status,compile_us_triton,compile_us_cutile,triton_ratio,cutile_ratio
pointwise_04d85912d998,3640346e,5.6,5.79,1.0339285714285715,AT_FLOOR,AT_FLOOR,5.44,5.66,0.971,0.978
pointwise_04d85912d998,369826f8,5.09,5.28,1.037328094302554,GOOD,AT_FLOOR,5.41,5.15,1.063,0.976
pointwise_04d85912d998,36b4e1e7,6.94,6.82,0.9827089337175793,AT_FLOOR,AT_FLOOR,6.85,6.98,0.986,1.023
pointwise_04d85912d998,37b68e48,7.14,7.14,1.0,BAD_ORACLE,AT_FLOOR,6.59,7.07,0.924,0.991
pointwise_04d85912d998,38defa30,5.54,5.73,1.0342960288808665,AT_FLOOR,AT_FLOOR,5.7,5.5,1.029,0.961
pointwise_04d85912d998,39290894,5.7,5.82,1.0210526315789474,AT_FLOOR,AT_FLOOR,5.76,5.63,1.011,0.967
pointwise_04d85912d998,3a15e468,5.82,5.79,0.9948453608247422,AT_FLOOR,AT_FLOOR,5.73,5.73,0.984,0.989
pointwise_04d85912d998,3afb3a00,5.66,5.6,0.989399293286219,AT_FLOOR,AT_FLOOR,5.63,5.63,0.994,1.006
pointwise_04d85912d998,3b31bbb0,5.63,5.63,1.0,AT_FLOOR,AT_FLOOR,5.57,5.57,0.989,0.989
pointwise_04d85912d998,3b978354,5.6,5.7,1.017857142857143,AT_FLOOR,AT_FLOOR,5.57,5.57,0.994,0.978
pointwise_04d85912d998,3ba76078,5.44,5.63,1.0349264705882353,AT_FLOOR,AT_FLOOR,5.25,5.66,0.965,1.006
pointwise_04d85912d998,3e112035,5.79,5.73,0.9896373056994819,AT_FLOOR,AT_FLOOR,5.79,5.73,1.0,1.0
pointwise_04d85912d998,3e3bfb59,5.38,7.65,1.4219330855018588,AT_FLOOR,BAD_ORACLE,5.6,5.66,1.042,0.741
pointwise_04d85912d998,3e8ddd11,5.76,5.82,1.0104166666666667,AT_FLOOR,AT_FLOOR,5.82,5.86,1.011,1.005
pointwise_04d85912d998,3e9070a3,5.34,5.76,1.0786516853932584,GOOD,BAD_ORACLE,5.63,5.44,1.054,0.944
pointwise_04d85912d998,3e95f64a,5.73,5.63,0.9825479930191972,AT_FLOOR,AT_FLOOR,5.63,5.7,0.983,1.011
pointwise_04d85912d998,4033ee34,5.66,5.76,1.017667844522968,AT_FLOOR,AT_FLOOR,5.6,5.63,0.989,0.978
pointwise_04d85912d998,40b2a18e,5.63,5.66,1.005328596802842,AT_FLOOR,AT_FLOOR,5.6,5.47,0.994,0.966
pointwise_04d85912d998,40eb390a,5.47,5.47,1.0,AT_FLOOR,AT_FLOOR,5.47,5.57,1.0,1.018
pointwise_04d85912d998,40fe5864,5.44,5.79,1.0643382352941175,AT_FLOOR,BAD_ORACLE,5.6,5.34,1.029,0.923
